number,created_at,title,author,state,merged,merged_at,reclosed_after_auto_reopen,outcome_after_reopen,html_url
4013,2026-04-30T10:30:33Z,fix(coding-agent): remove detached: true on Windows to fix pwsh.exe shellPath support,picasso250,closed,yes,2026-04-30T18:59:03Z,yes,merged,https://github.com/earendil-works/pi/pull/4013
4110,2026-05-02T20:34:54Z,"Fix mismatch between models.dev and OpenCode Go (Qwen3.5/3.6, MiniMax M2.7)",jsynowiec,closed,yes,2026-05-02T22:41:55Z,yes,merged,https://github.com/earendil-works/pi/pull/4110
4161,2026-05-04T13:20:55Z,chore: unset HF_TOKEN in pi-test.sh --no-env,julien-c,closed,yes,2026-05-04T13:23:08Z,yes,merged,https://github.com/earendil-works/pi/pull/4161
4243,2026-05-06T18:45:42Z,config selector: scale maxVisible to terminal height,samjonester,closed,yes,2026-05-17T23:20:11Z,yes,merged,https://github.com/earendil-works/pi/pull/4243
4244,2026-05-06T19:07:30Z,chore(coding-agent): switch back from fork to upstream jiti 2.7,pi0,closed,yes,2026-05-06T23:04:51Z,yes,merged,https://github.com/earendil-works/pi/pull/4244
4256,2026-05-07T03:43:23Z,fix(openai-responses): multi-turn reasoning fails under store:false on Azure,0xnavarro,closed,no,,yes,closed_unmerged,https://github.com/earendil-works/pi/pull/4256
4358,2026-05-09T22:12:06Z,fix(ai): add session affinity and compat fixes for Fireworks provider caching,yanirz,closed,yes,2026-05-10T16:00:53Z,yes,merged,https://github.com/earendil-works/pi/pull/4358
4473,2026-05-13T13:48:06Z,fix(ai): mark inception/mercury-2 thinkingLevelMap.off as null,apoorvumang,closed,yes,2026-05-13T16:48:50Z,yes,merged,https://github.com/earendil-works/pi/pull/4473
4482,2026-05-13T16:45:17Z,Address edge-case with kitty protocol in wezterm,Felixoid,closed,yes,2026-05-16T22:37:00Z,yes,merged,https://github.com/earendil-works/pi/pull/4482
4661,2026-05-18T02:06:06Z,fix(coding-agent): guard undici install under Bun,dmasiero,closed,yes,2026-05-18T08:13:26Z,yes,merged,https://github.com/earendil-works/pi/pull/4661
